mode,Execution Time (ms),CPU Load (%),Memory Used (MB),CPU Power (W),Energy Consumption (mJ),Total Points
1024,2.0,2.0,1.0,1.0,2.0,8.0
2048,1.0,1.0,2.0,2.0,1.0,7.0
