mode,Execution Time (ms),CPU Load (%),Memory Used (MB),CPU Power (W),Energy Consumption (mJ),Total Points
NOPAD,2.0,1.0,2.0,2.0,2.0,9.0
PKCS1,1.0,2.0,1.0,1.0,1.0,6.0
