mode,Execution Time (ms),CPU Load (%),Memory Used (MB),CPU Power (W),Energy Consumption (mJ),Total Points
EBC,5.0,6.0,6.0,6.0,6.0,29.0
ECB,6.0,4.0,5.0,1.0,5.0,21.0
CTR,4.0,5.0,4.0,2.0,4.0,19.0
OFB,2.0,3.0,1.0,5.0,2.0,13.0
CBC,3.0,1.0,2.0,3.0,3.0,12.0
CFB,1.0,2.0,3.0,4.0,1.0,11.0
