mode,Execution Time (ms),CPU Load (%),Memory Used (MB),CPU Power (W),Energy Consumption (mJ),Total Points
64,5.0,6.0,5.0,4.0,3.0,23.0
256,2.0,1.0,6.0,5.0,5.0,19.0
1024,1.0,2.0,3.0,6.0,6.0,18.0
128,6.0,4.0,1.0,2.0,4.0,17.0
40,4.0,3.0,4.0,3.0,2.0,16.0
192,3.0,5.0,2.0,1.0,1.0,12.0
