mode,Execution Time (ms),CPU Load (%),Memory Used (MB),CPU Power (W),Energy Consumption (mJ),Total Points
ECB,5.0,5.0,5.0,1.0,5.0,21.0
CTR,4.0,2.0,4.0,3.0,4.0,17.0
CBC,3.0,3.0,1.0,5.0,3.0,15.0
CFB,1.0,4.0,3.0,4.0,2.0,14.0
OFB,2.0,1.0,2.0,2.0,1.0,8.0
