mode,Execution Time (ms),CPU Load (%),Memory Used (MB),CPU Power (W),Energy Consumption (mJ),Total Points
ECB,5.0,5.0,5.0,1.0,5.0,21.0
CTR,3.0,3.0,2.0,5.0,4.0,17.0
CBC,4.0,4.0,3.0,2.0,3.0,16.0
CFB,1.0,1.0,4.0,4.0,1.0,11.0
OFB,2.0,2.0,1.0,3.0,2.0,10.0
