mode,Execution Time (ms),CPU Load (%),Memory Used (MB),CPU Power (W),Energy Consumption (mJ),Total Points
ECB,5.0,3.0,1.0,5.0,5.0,19.0
OFB,1.0,5.0,2.0,4.0,4.0,16.0
CTR,4.0,1.0,4.0,3.0,3.0,15.0
CBC,2.0,2.0,5.0,2.0,2.0,13.0
CFB,3.0,4.0,3.0,1.0,1.0,12.0
