Iteration,ExecutionTime(ns),CpuLoad(%),MemoryUsed(bytes),CpuPower(W)
184,1481542000,8.07,8192,14.82
185,1470464800,9.76,0,16.25
186,1474341800,7.48,65536,14.60
187,1473721400,6.85,0,14.60
188,1474658900,7.16,0,14.11
189,1474394700,6.64,0,14.02
190,1479070100,6.57,0,14.49
191,1470271900,7.05,0,14.49
192,1475284300,6.48,0,14.58
193,1474501600,6.52,0,13.70
194,1478033400,7.04,0,14.42
195,1473534200,6.79,0,14.42
196,1466315700,7.08,0,13.83
197,1480248800,9.03,0,15.19
198,1482803100,8.20,0,14.15
199,1470243200,6.98,0,14.15
200,1476784000,7.16,0,14.39
201,1476014800,11.53,0,13.80
202,1481849300,12.07,0,14.96
203,1468242700,6.83,1814528,14.96
204,1481818600,7.35,0,15.01
205,1475014600,6.90,0,17.80
206,1489060700,7.17,0,13.91
207,1480035200,6.84,0,13.91
208,1477295700,6.76,0,14.39
209,1470428300,9.12,0,14.28
210,1477106000,8.91,0,14.98
211,1495893600,10.57,0,14.98
212,1483786800,7.93,0,14.63
213,1487232700,7.21,0,14.16
214,1518234500,6.69,0,16.76
215,1565007500,10.87,0,16.76
216,1467841800,12.70,0,13.87
217,1527511200,11.87,0,14.37
218,1508818900,6.90,184320,14.97
219,1471920900,7.08,0,15.69
220,1501258900,6.33,65536,15.69
221,1492945200,13.69,0,14.78
222,1523856400,13.28,4096,14.50
223,1502672900,7.38,0,15.21
224,1518434000,6.77,0,15.21
225,1508155700,7.65,0,16.78
226,1525256300,6.73,0,13.82
227,1517029800,7.01,0,14.10
228,1508518900,6.47,0,14.10
229,1500557000,7.26,0,13.57
230,1484773000,6.82,0,14.25
231,1520497500,7.26,0,14.25
232,1483418900,7.05,0,14.25
233,1511768700,7.45,0,14.81
234,1504940000,8.92,0,13.89
235,1483192600,8.20,0,14.64
236,1477253900,7.03,0,14.64
237,1506302000,6.83,0,13.49
238,1479068200,7.02,0,13.91
239,1474860800,6.63,0,14.01
240,1487129500,8.57,0,14.45
241,1494389400,14.35,0,14.45
242,1507217600,8.15,8192,14.42
243,1490443900,7.36,0,15.26
244,1536787600,6.61,0,16.85
245,1521144700,6.85,0,16.85
246,1468865800,8.61,0,15.02
247,1496217700,8.28,0,14.49
248,1531224500,7.45,0,13.60
249,1520906400,7.34,0,13.60
250,1512008100,7.39,0,15.56
251,1528430800,6.70,0,14.32
252,1486839300,7.78,0,14.44
253,1494521400,6.79,0,14.44
254,1480579400,6.67,0,13.75
255,1495140300,6.64,0,14.92
256,1482953500,7.02,0,14.38
257,1499167000,6.60,65536,14.38
258,1479724000,8.53,0,14.37
259,1479932000,9.72,0,14.19
260,1482128300,12.10,0,14.13
261,1478165400,13.51,0,14.13
262,1487604600,6.73,0,14.28
263,1479874500,7.05,0,16.30
264,1484532400,7.10,0,17.18
265,1483276000,7.21,0,17.18
266,1482222000,6.64,0,13.95
267,1492108400,6.81,0,14.50
268,1499032500,7.16,0,14.40
269,1483813000,6.75,0,13.65
270,1485013700,7.77,0,13.65
271,1490182300,8.96,0,13.92
272,1476002600,7.75,0,14.17
273,1490388100,7.46,0,14.26
274,1490789500,7.05,0,14.26
275,1478811700,7.46,0,14.70
276,1476794300,7.19,0,14.83
277,1483270700,6.66,0,14.05
278,1472185400,6.88,0,14.05
279,1488089700,6.69,0,14.84
280,1483312000,11.32,0,14.87
281,1472946700,12.11,4096,14.51
282,1497830300,6.67,0,14.51
283,1491226700,9.08,0,15.86
284,1501517000,8.74,0,16.87
285,1487212700,7.01,0,13.76
286,1489306800,7.05,0,13.76
287,1487970000,6.95,0,14.48
288,1476246900,7.85,0,14.44
289,1490526600,6.78,0,14.79
290,1481663100,7.04,0,14.79
291,1470024700,6.96,0,14.91
292,1466290700,6.97,4096,14.77
293,1477249400,7.03,65536,14.08
294,1472001600,6.59,0,14.08
295,1470018800,7.94,0,13.96
296,1467671700,9.10,0,14.57
297,1470773500,7.88,0,14.37
298,1483377000,7.26,0,14.37
299,1460810200,6.83,0,14.16
